OID_,ID,hydr_prcnt,drai_prcnt,bedr_prcnt,dens_prcnt,ston_prcnt,TreeMortal
18000,18506,25,0,0,14,24,3
18103,18611,0,0,0,100,0,4
18115,18623,3,47,0,53,4,3
18134,18642,1,0,0,1,1,3
18236,18746,0,0,0,95,95,3
18284,18794,0,0,100,0,2,4
18292,18802,0,0,0,100,0,5
18345,18855,11,0,0,100,10,4
18477,18989,0,0,100,0,100,4
18553,19067,0,0,0,0,0,3
18587,19101,57,3,0,57,57,2
18702,19217,0,0,0,0,0,3
18711,19226,0,0,0,100,0,4
18783,19298,0,0,0,0,100,1
18910,19425,0,0,0,100,0,4
18929,19444,0,0,100,0,0,4
18955,19470,0,0,0,0,0,3
19005,19520,0,0,100,0,0,4
19050,19565,0,0,0,100,0,2
19111,19626,0,100,0,0,0,1
19228,19743,0,0,100,0,61,2
19275,19790,4,0,96,4,4,1
19276,19791,13,0,81,12,12,4
19447,19964,0,0,0,100,0,2
19458,19975,0,0,0,100,100,3
19611,20128,46,0,44,46,100,1
19645,20162,0,0,70,0,0,1
19729,20246,76,0,0,100,76,1
19923,20440,0,0,0,100,0,4
19997,20514,11,0,89,0,0,3
20015,20533,1,0,0,100,1,1
20099,20618,66,0,0,84,84,1
20213,20732,19,0,0,18,100,1
20214,20733,0,0,0,0,0,3
20224,20743,0,0,0,100,0,2
20241,20761,58,0,3,58,58,2
20511,21034,15,0,0,0,0,2
20575,21098,5,0,0,100,6,2
20729,21252,0,0,92,0,0,1
20772,21295,46,0,13,87,54,2
20792,21315,1,0,0,100,1,3
20823,21346,0,100,0,0,0,2
20895,21419,0,0,0,0,0,2
20905,21429,87,8,0,92,6,2
20993,21517,23,0,0,100,23,1
21063,21587,0,0,100,0,0,4
21167,21693,0,0,100,0,0,4
21175,21701,0,0,0,35,0,3
21230,21756,18,0,83,17,99,1
21437,21965,63,0,0,100,63,1
21440,21968,14,0,86,14,90,3
21512,22040,0,0,0,100,0,1
21519,22047,100,0,0,100,100,1
21578,22106,0,0,0,0,19,5
21583,22111,9,0,0,8,8,2
21750,22279,0,0,43,57,0,4
21792,22322,0,0,94,0,0,2
21843,22373,14,0,87,13,100,4
21874,22404,2,0,0,100,2,2
21925,22456,9,0,0,100,10,2
22051,22582,0,0,100,0,0,3
22065,22597,36,0,0,36,36,4
22076,22608,25,56,0,36,26,4
22081,22613,45,0,0,100,46,3
22133,22665,26,48,0,0,0,3
22320,22852,12,0,89,11,11,2
22419,22952,8,0,0,92,0,2
22485,23018,16,0,22,78,22,3
22534,23068,63,0,0,64,63,3
22590,23125,0,0,97,0,97,2
22597,23132,0,0,0,0,0,2
22622,23157,0,0,0,100,0,1
22730,23266,0,0,0,100,0,2
22739,23275,0,0,0,100,0,4
22822,23359,8,0,92,8,8,5
22967,23505,0,0,0,100,0,3
22979,23517,0,0,0,0,0,4
22995,23533,0,0,100,0,0,1
23046,23584,0,2,0,0,0,1
23159,23698,30,0,69,31,51,1
23188,23727,0,0,0,100,0,3
23307,23847,16,0,0,100,16,4
23403,23943,29,0,0,30,30,5
23532,24072,28,0,0,100,29,1
23543,24083,0,0,29,0,29,5
23550,24090,80,0,0,80,100,2
23564,24104,42,0,47,42,94,3
23778,24320,42,0,0,100,41,5
23800,24342,0,0,0,0,0,4
23886,24428,5,0,0,100,5,3
23955,24497,0,0,0,0,0,4
23956,24498,0,0,0,100,0,5
23962,24504,42,0,57,43,43,1
23983,24525,88,0,0,100,89,1
23990,24532,0,0,0,100,0,2
24042,24585,0,0,0,100,0,1
24080,24623,0,0,100,0,0,2
24149,24693,1,0,99,1,37,1
24262,24808,0,0,0,100,0,3
24373,24920,21,0,65,22,62,5
24398,24945,0,0,0,100,0,1
24476,25024,38,0,0,38,38,3
24491,25039,0,0,0,0,0,4
24508,25056,0,12,0,88,0,4
24569,25117,0,18,0,0,0,2
24681,25230,0,0,100,0,10,2
24703,25252,32,69,0,31,31,3
24711,25260,1,99,0,1,1,3
24756,25306,2,0,0,100,2,1
24797,25347,0,0,0,0,0,5
24835,25385,0,0,0,100,0,2
24863,25414,41,0,0,100,41,1
24957,25508,0,0,100,0,0,2
24978,25529,0,0,100,0,0,1
25061,25612,55,0,0,100,55,2
25071,25622,0,15,0,0,0,1
25125,25678,0,0,100,0,100,3
25159,25712,0,0,0,100,0,4
25271,25824,0,0,0,0,0,3
25281,25834,51,1,28,51,51,1
25304,25857,44,0,0,100,45,1
25361,25914,0,0,0,0,100,2
25399,25952,19,0,80,20,80,5
25596,26149,1,0,57,1,56,3
25755,26310,13,0,0,100,13,5
25934,26489,0,0,0,100,0,3
25988,26544,0,0,0,100,0,5
26023,26579,12,0,0,13,13,3
26043,26599,2,0,0,100,1,3
26048,26604,0,0,0,0,0,3
26155,26712,0,0,0,13,0,4
26202,26759,0,0,0,0,100,5
26249,26806,0,0,0,100,0,4
26347,26905,3,0,98,2,2,3
26390,26949,0,0,51,0,0,2
26433,26992,0,0,6,94,0,3
26454,27013,0,0,100,0,0,3
26509,27068,0,0,100,0,9,2
26546,27105,60,0,10,60,60,3
26554,27113,0,0,0,100,0,1
26566,27125,9,0,0,100,8,3
26656,27215,0,100,0,0,0,4
26707,27266,11,0,0,93,11,2
26747,27306,0,0,100,0,0,3
26847,27406,0,0,0,100,0,2
26898,27457,8,0,0,0,0,1
27122,27682,0,0,21,79,0,4
27128,27688,29,0,0,96,28,2
27206,27767,3,0,0,100,3,4
27229,27790,14,86,0,0,0,2
27233,27794,0,0,0,100,0,4
27286,27848,0,0,0,0,0,3
27300,27862,43,0,58,42,42,3
27420,27982,1,0,0,100,1,4
27444,28006,0,0,0,0,50,4
